timestamp_ms,acc_x,acc_y,acc_z
0,0.135319,-0.131726,9.423204
10,0.131726,-0.134121,9.679472
20,0.013173,-0.03353,9.523795
30,0.229922,-3.836822,7.551497
40,3.398533,2.80337,3.550617
50,2.978207,-2.464475,13.50312
60,-0.954415,0.112566,7.810159
70,0.972378,-0.809517,10.944042
80,0.693358,-0.359253,9.461525
90,-0.502954,1.22146,7.690408
100,0.724493,-0.517324,9.867481
110,0.079036,-0.037123,9.716595
120,0.098196,-0.089813,9.479487
130,0.120948,-0.102986,9.443563
140,0.135319,-0.134121,9.636361
150,0.158071,-0.126936,9.528585
160,0.107776,-0.112566,9.493857
170,0.031135,1.165177,4.951703
180,-3.222499,-2.587819,24.959698
190,-0.981958,0.33171,6.229446
200,1.092129,-0.461041,8.704699
210,0.632285,-0.277822,10.789563
220,1.778302,-0.665815,9.325009
230,-1.979484,0.58678,7.209009
240,0.196392,-0.244292,10.515334
250,0.843047,-0.395178,9.371712
260,0.117356,-0.077838,9.668694
270,0.086221,-0.083826,9.441168
280,0.164059,-0.107776,9.542955
290,0.126936,-0.080233,9.556129
300,0.114961,-0.076641,9.533376
310,0.405956,0.87059,-6.980285
320,1.738784,0.695753,8.420889
330,-0.580792,0.385598,8.248447
340,0.385598,-0.379611,10.65185
350,0.366438,-0.441881,10.534493
360,0.847837,-0.081431,9.783655
370,-0.093406,-0.55325,7.656878
380,-0.962798,0.544867,9.345366
390,0.872985,-0.559237,9.938134
400,0.125739,-0.062271,9.672287
410,0.150886,-0.107776,9.513018
420,0.096998,-0.098196,9.569301
430,0.124541,-0.110171,9.571696
440,0.118553,-0.123344,9.523795
450,0.076641,-0.116158,9.481883
460,0.079036,-0.411943,6.878496
470,1.88967,0.777184,9.936936
480,-1.21188,0.287402,7.779024
490,1.008303,-0.678988,11.605067
500,-0.167651,0.011975,8.887918
510,0.883762,-0.643063,9.736953
520,0.633483,-0.334105,10.437495
530,0.700543,-0.389191,9.285491
540,-0.107776,0.03832,9.486672
550,0.159269,-0.104183,9.802815
560,0.05269,-0.080233,9.427995
570,0.122146,-0.119751,9.539363
580,0.100591,-0.124541,9.542955
590,1.010698,1.876498,-4.126619
600,0.546064,-1.26457,14.704223
610,-1.440604,0.177231,6.964717
620,-0.104183,-0.105381,9.689052
630,0.294587,-0.148491,10.47821
640,0.640668,0.03353,9.718989
650,0.859812,-0.729283,9.128617
660,-1.283731,0.872985,7.860455
670,0.589175,-0.26944,9.416019
680,0.125739,-0.065863,9.509425
690,0.152084,-0.085023,9.656719
700,0.093406,-0.088616,9.528585
710,0.153281,-0.155676,9.586066
720,0.108973,-0.132924,9.514215
730,-0.064666,0.191602,8.135881
740,-1.927991,-2.73152,25.190817
750,-0.784369,0.068258,8.268806
760,0.565225,-0.30297,11.326048
770,-0.234712,0.080233,10.503359
780,0.216749,0.073048,9.753717
790,0.887355,-0.141306,9.244776
800,-1.591491,-1.340014,8.291558
810,0.241897,0.628693,9.365725
820,0.617915,-0.238304,9.729767
830,0.217947,-0.171244,9.651929
840,0.110171,-0.134121,9.450747
850,0.137714,-0.155676,9.595646
860,0.096998,-0.156874,9.553733
870,0.089813,-0.158071,9.563313
880,-0.349673,-1.609453,20.294199
890,-0.358055,0.359253,8.8484
900,0.819097,-0.34129,11.35838
910,-0.189207,0.087418,9.102272
920,0.226329,-0.285007,10.572814
930,0.781974,-0.627495,8.85319
940,0.002395,0.257465,8.086783
950,-0.214354,-0.05748,9.851913
960,0.108973,-0.129331,9.962084
970,0.280217,-0.222737,9.175321
980,0.029938,-0.046703,9.538166
990,0.113763,-0.147294,9.564511
1000,0.100591,-0.143701,9.501043
1010,0.102986,-0.144899,9.583671
1020,0.077838,0.210762,3.576962
1030,-1.425037,0.051493,7.292835
1040,1.120869,-0.419128,11.833792
1050,-0.267045,0.02874,8.994496
1060,0.57241,-0.068258,10.534493
1070,1.551973,-0.207169,9.520203
1080,-2.307601,-0.281415,7.510782
1090,0.814307,-0.457449,9.437575
1100,0.005988,0.013173,9.7142
1110,0.152084,-0.120948,9.594449
1120,0.129331,-0.130529,9.44955
1130,0.136516,-0.130529,9.587264
1140,0.079036,-0.105381,9.539363
1150,0.056283,-0.114961,9.503438
1160,-1.156794,-0.131726,2.502795
1170,1.778302,0.520917,10.225536
1180,-0.999921,0.295785,7.962243
1190,-0.020358,-0.177231,9.887838
1200,0.168849,-0.233514,10.209969
1210,1.087339,-0.61552,10.049502
1220,0.58199,0.678988,7.279662
1230,-1.768722,0.662223,9.690249
1240,0.100591,-0.01437,9.868678
1250,0.262255,-0.155676,9.381292
1260,0.193997,-0.110171,9.540561
1270,0.091011,-0.070653,9.556129
1280,0.123344,-0.111368,9.583671
1290,0.050295,-0.126936,9.524993
1300,0.02395,-0.128134,9.562116
1310,0.025148,-0.113763,9.560919
1320,0.343685,-1.070574,12.494818
1330,1.46695,1.23104,9.593251
1340,-0.862207,0.27423,10.771601
1350,-0.099393,0.00958,9.322614
1360,1.185535,-0.35566,10.135723
1370,-0.6251,-0.276625,8.125104
1380,-0.936453,0.684976,9.433982
1390,0.796344,-0.401166,9.702225
1400,0.216749,-0.120948,9.504636
1410,0.174836,-0.154479,9.485476
1420,0.124541,-0.117356,9.574091
1430,0.074246,-0.110171,9.559721
1440,0.05748,-0.106578,9.532178
1450,-0.223934,0.839454,-0.608335
1460,1.198707,-0.695753,15.052698
1470,-1.435814,0.077838,7.249724
1480,1.780697,-0.593965,12.067307
1490,-0.378413,-0.050295,8.917855
1500,0.566422,-0.03353,9.405242
1510,1.232238,-0.504152,8.442444
1520,-1.869313,0.617915,9.599238
1530,0.65863,-0.238304,9.544153
1540,0.167651,-0.089813,9.794433
1550,0.185614,-0.150886,9.486672
1560,0.112566,-0.123344,9.523795
1570,0.125739,-0.123344,9.613608
1580,0.061073,-0.104183,9.493857
1590,0.069456,-0.107776,9.540561
1600,-0.27423,-0.051493,9.131012
1610,0.590372,-2.913541,21.393513
1620,-0.415536,0.916095,8.954978
1630,0.328118,0.198787,10.421928
1640,-0.33171,0.141306,9.631572
1650,0.201182,0.077838,9.527389
1660,-1.282533,0.93765,7.625742
1670,0.347278,-0.217947,10.439891
1680,0.583187,-0.431104,9.399255
1690,0.088616,-0.138911,9.353749
1700,0.082628,-0.105381,9.668694
1710,0.110171,-0.124541,9.586066
1720,0.100591,-0.126936,9.552536
1730,0.050295,-0.118553,9.492661
1740,-0.201182,0.192799,6.768325
1750,-1.601071,-2.529141,23.388565
