timestamp_ms,acc_x,acc_y,acc_z
0,0.089813,-0.148491,9.448353
10,0.05269,-0.176034,9.325009
20,-0.165256,-0.051493,9.883048
30,0.833467,-0.468226,9.792038
40,-0.061073,-0.027543,10.209969
50,-0.261057,-0.114961,9.014853
60,0.332908,-0.374821,9.551338
70,-0.803529,5.181625,-0.811912
80,4.905,-2.47166,16.933987
90,0.213157,-0.191602,10.257869
100,-0.198787,0.120948,10.517729
110,0.308958,0.416733,9.80521
120,-0.564027,-0.554447,9.140593
130,0.189207,-0.132924,9.599238
140,0.040715,-0.117356,9.705817
150,0.149689,-0.184417,9.575289
160,0.120948,-0.196392,9.633966
170,0.050295,-0.165256,9.569301
180,0.064666,-0.154479,9.407638
190,0.073048,-0.051493,9.251961
200,-2.733915,-2.966232,31.171181
210,1.141227,-0.64905,11.545192
220,0.286205,-0.065863,9.733359
230,-0.025148,-0.178429,10.223142
240,0.5772,-0.118553,10.918895
250,3.060835,0.487386,9.045989
260,-2.468068,-0.840652,7.167096
270,0.275427,-0.328118,10.080638
280,0.142504,-0.118553,9.46871
290,0.226329,-0.228724,9.505833
300,0.110171,-0.174836,9.443563
310,0.095801,-0.188009,9.566906
320,0.04311,-0.142504,9.441168
330,-0.877775,-2.064507,34.154179
340,1.258583,-0.134121,11.799065
350,0.36524,-0.25028,10.506951
360,0.144899,-0.177231,9.748927
370,-0.015568,-0.114961,9.821976
380,1.446592,1.148412,10.533297
390,1.189127,-2.634521,7.688013
400,-2.496808,0.150886,8.976534
410,0.58678,-0.488584,9.938134
420,0.114961,-0.069456,9.499846
430,0.068258,-0.128134,9.41123
440,0.092208,-0.188009,9.563313
450,0.007185,-0.122146,9.376502
460,1.393901,0.079036,-0.877775
470,-0.934058,-0.882565,12.048146
480,0.235909,-0.164059,10.181229
490,-0.050295,-0.112566,9.748927
500,0.037123,0.058678,10.239906
510,1.052611,0.953218,10.197993
520,1.599873,-1.107697,8.309521
530,-1.830992,-0.449066,9.999207
540,0.153281,-0.074246,9.633966
550,0.273032,-0.172441,9.727372
560,0.146096,-0.117356,9.427995
570,0.197589,-0.189207,9.475895
580,0.083826,-0.158071,9.424402
590,2.729125,-1.437012,-10.89255
600,-0.728086,0.535287,7.417376
610,1.962719,-0.189207,11.367961
620,0.174836,-0.094603,10.140513
630,0.059875,-0.155676,10.142908
640,1.965114,-0.162861,8.464
650,-1.631008,-0.755629,9.114247
660,0.705333,-0.504152,9.775272
670,0.01916,0.064666,9.371712
680,0.356858,-0.215552,9.843531
690,0.205972,-0.140109,9.559721
700,0.159269,-0.112566,9.418415
710,0.093406,-0.131726,9.353749
720,0.065863,-0.153281,9.46871
730,-0.675396,-1.26936,-7.591015
740,-0.62031,0.30776,9.390872
750,-0.013173,-0.067061,9.859098
760,0.020358,0.00479,10.196796
770,0.253872,0.487386,10.39678
780,2.189048,1.229843,9.827963
790,-1.48611,0.690963,8.940608
800,0.462239,-0.235909,10.06986
