timestamp_ms,acc_x,acc_y,acc_z
0,0.117356,-0.108973,9.48787
10,0.125739,-0.083826,9.589659
20,0.099393,-0.085023,9.635164
30,0.377216,-0.147294,9.73815
40,0.239502,-0.189207,9.594449
50,0.500559,0.573607,1.157992
60,-5.478607,-0.91849,24.950117
70,-0.587977,2.008224,-1.668131
80,3.301535,-1.229843,16.896864
90,1.554368,-0.953218,11.811039
100,-0.811912,0.093406,8.426877
110,0.613125,-0.439486,10.958412
120,0.877775,0.086221,9.398057
130,-1.470542,0.547262,7.820937
140,0.840652,-0.544867,9.7142
150,0.077838,-0.044308,9.656719
160,0.203577,-0.120948,9.623189
170,0.134121,-0.128134,9.551338
180,0.150886,-0.135319,9.569301
190,0.180824,-0.166454,9.523795
200,0.101788,-0.082628,9.527389
210,0.125739,-0.112566,9.587264
220,0.119751,-0.00479,9.301059
230,-4.081113,-3.143463,30.077854
240,0.950823,1.815425,5.872588
250,0.148491,0.002395,9.958491
260,-0.020358,0.025148,9.817185
270,0.559237,-0.190404,10.376423
280,0.480201,-0.095801,8.505912
290,-0.310155,0.170046,9.063951
300,-0.134121,-0.027543,9.534574
310,0.227527,-0.170046,9.751323
320,0.112566,-0.094603,9.461525
330,0.176034,-0.123344,9.583671
340,0.140109,-0.126936,9.599238
350,0.098196,-0.118553,9.548944
360,0.091011,-0.116158,9.558523
370,0.082628,-0.111368,9.514215
380,2.503993,0.657433,-7.713161
390,0.239502,-1.001118,14.230009
400,1.802252,-1.071771,13.35942
410,-0.735271,0.32692,8.091574
420,0.88975,-0.105381,10.812316
430,0.701741,-0.164059,8.419691
440,-0.58199,0.180824,9.11305
450,-0.24549,0.003593,9.729767
460,0.183219,-0.155676,9.629176
470,0.118553,-0.153281,9.401649
480,0.160466,-0.156874,9.571696
490,0.106578,-0.123344,9.559721
500,0.107776,-0.130529,9.582474
510,0.068258,-0.116158,9.542955
520,0.083826,-0.120948,9.574091
530,0.619113,0.544867,3.855982
540,-4.687053,-1.760339,22.913153
550,-0.738864,0.906515,5.983956
560,-0.520917,0.324525,8.650811
570,0.325723,0.167651,9.971664
580,0.095801,-0.247885,8.87714
590,-0.208367,0.201182,9.11784
600,0.916095,-0.635878,9.835148
610,0.201182,-0.170046,9.625584
620,0.134121,-0.166454,9.419612
630,0.205972,-0.202379,9.586066
640,0.129331,-0.137714,9.53577
