timestamp_ms,acc_x,acc_y,acc_z
0,0.124541,-0.205972,9.353749
10,0.050295,-0.095801,9.287886
20,-0.208367,0.253872,9.608819
30,-6.969507,0.576002,0.176034
40,2.099235,3.4141,11.445799
50,1.117277,0.441881,9.976455
60,-0.546064,-0.267045,9.351355
70,0.64426,-0.020358,9.794433
80,-0.262255,-0.525707,7.625742
90,0.154479,-0.178429,9.81958
100,0.220342,-0.182021,9.78605
110,0.271835,-0.223934,9.514215
120,0.118553,-0.160466,9.335787
130,-0.170046,-0.01437,9.336984
140,0.176034,-0.251477,9.530981
150,0.027543,-0.148491,9.639954
160,3.069218,0.287402,4.899013
170,-1.80824,3.282374,6.151608
180,0.441881,0.053888,9.568104
190,0.215552,-0.150886,10.187216
200,0.056283,0.31734,10.182425
210,0.853824,-0.623903,7.649693
220,0.080233,-0.246687,10.310559
230,0.008383,0.041913,9.158555
240,0.180824,-0.209564,9.611214
250,0.03353,-0.144899,9.588461
260,0.027543,-0.164059,9.508228
270,0.008383,-0.150886,9.511821
280,-0.007185,-0.130529,9.408834
290,0.287402,-4.494254,27.479258
300,-2.195035,4.488267,4.221222
310,-0.174836,0.425116,9.721385
320,-0.183219,0.002395,9.322614
330,0.207169,-0.257465,10.448273
340,0.356858,-0.071851,9.108259
350,-1.46216,-0.342488,7.606582
360,0.735271,-0.530497,10.32972
370,0.2886,-0.238304,9.833951
380,0.134121,-0.128134,9.39207
390,0.27902,-0.280217,9.600436
400,0.077838,-0.176034,9.595646
410,0.058678,-0.179626,9.475895
420,-0.025148,-0.123344,9.498648
430,-0.021555,-0.135319,9.576486
440,0.938848,1.565145,-8.968151
450,1.343606,-0.428709,10.995535
460,0.125739,-0.240699,10.249487
470,-0.011975,0.071851,10.160871
480,0.748444,0.440684,9.994417
490,0.547262,-1.516047,7.466474
500,0.306563,-0.235909,10.04112
510,-0.016765,-0.008383,9.545351
520,0.267045,-0.227527,9.619596
530,0.108973,-0.154479,9.484278
540,0.132924,-0.193997,9.528585
550,0.022753,-0.150886,9.486672
560,0.007185,-0.150886,9.548944
570,1.448987,-0.040715,-9.996812
580,-0.910107,0.94244,6.993457
590,2.258503,-0.180824,11.302097
600,0.156874,-0.29339,10.218351
610,0.57241,-0.455054,10.150093
620,0.087418,1.011896,6.856941
630,-0.761616,-0.343685,9.898616
640,1.046624,-0.714913,10.005195
650,-0.098196,0.082628,9.426797
660,0.114961,-0.140109,9.633966
670,0.122146,-0.172441,9.575289
680,0.107776,-0.179626,9.532178
690,0.050295,-0.167651,9.396859
