timestamp_ms,acc_x,acc_y,acc_z
0,0.156874,-0.126936,9.451945
10,0.179626,-0.135319,9.586066
20,0.147294,-0.073048,9.629176
30,0.587977,0.083826,7.816146
40,-10.128538,2.913541,0.29339
50,3.149451,0.439486,13.349839
60,-0.64905,0.265847,8.8484
70,0.092208,-0.146096,10.233919
80,0.941243,-0.477806,10.62311
90,-0.516127,2.062112,7.174281
100,1.528023,-0.439486,10.284214
110,-0.27423,0.153281,9.515413
120,0.292192,-0.128134,9.608819
130,0.105381,-0.059875,9.323812
140,0.214354,-0.135319,9.633966
150,0.126936,-0.107776,9.552536
160,0.112566,-0.110171,9.539363
170,0.118553,-0.123344,9.584868
180,-0.287402,0.031135,7.836504
190,-6.571934,-4.51102,30.809532
200,1.450184,-1.045426,13.046869
210,-1.257385,0.261057,7.828122
220,0.778381,-0.192799,11.421848
230,1.280138,0.513732,8.907078
240,-2.561474,-0.66342,7.654483
250,0.544867,-0.282612,9.330997
260,-0.031135,-0.064666,9.267529
270,0.199984,-0.120948,9.717793
280,0.017963,-0.049098,9.44476
290,0.156874,-0.106578,9.631572
300,0.117356,-0.087418,9.548944
310,0.100591,-0.113763,9.563313
320,0.062271,-0.100591,9.497451
330,-5.301376,-3.560197,37.583847
340,0.62989,2.480043,4.317023
350,1.929188,-0.66342,7.746691
360,0.25028,-0.210762,10.441088
370,0.192799,-0.050295,10.003997
380,0.316143,-0.027543,10.420731
390,1.316063,-0.34608,9.045989
400,-1.862128,0.31734,7.36229
410,0.544867,-0.191602,9.260344
420,0.116158,-0.083826,9.45913
430,0.134121,-0.079036,9.674682
440,0.061073,-0.094603,9.599238
450,0.135319,-0.160466,9.580078
460,0.034728,-0.143701,9.501043
470,0.050295,-0.137714,9.513018
480,0.053888,-0.147294,9.580078
490,2.762655,0.676593,-6.459368
500,1.504072,-0.178429,10.527308
510,1.87051,-1.21188,12.599001
520,-0.198787,0.120948,9.105865
530,0.674198,-0.138911,10.803933
540,0.680186,0.229922,8.110734
550,0.128134,0.117356,9.807606
