timestamp_ms,acc_x,acc_y,acc_z
0,0.153281,-0.110171,9.471106
10,0.144899,-0.095801,9.584868
20,0.126936,-0.092208,9.632769
30,0.098196,-0.099393,9.536968
40,0.221539,-0.188009,9.605227
50,0.136516,-0.111368,9.522598
60,0.182021,-0.107776,9.571696
70,0.112566,-0.100591,9.45434
80,-8.812475,-5.445077,39.23521
90,2.10642,2.622546,-1.650169
100,-1.589095,-1.044229,10.745255
110,3.570974,-2.013014,12.652888
120,-1.595083,0.081431,7.783814
130,0.669408,0.199984,8.754994
140,-0.943638,0.844244,7.890392
150,-0.323328,-0.210762,10.01238
160,0.747246,-0.650248,9.619596
170,-0.03832,-0.04311,9.563313
180,0.118553,-0.118553,9.380095
190,0.160466,-0.131726,9.619596
200,0.114961,-0.106578,9.496253
210,0.141306,-0.118553,9.558523
220,0.094603,-0.100591,9.569301
230,0.02874,0.035925,9.217233
240,-0.285007,0.724493,6.276149
250,1.537603,-0.787961,11.776312
260,-0.930465,0.183219,8.683144
270,0.859812,-0.261057,10.984757
280,0.62031,0.171244,9.685459
290,0.0479,0.234712,9.735755
300,0.753234,-0.382006,9.703422
310,0.037123,-0.029938,9.526191
320,0.204774,-0.110171,9.698632
330,0.116158,-0.091011,9.472302
340,0.153281,-0.126936,9.596844
350,0.113763,-0.111368,9.510623
360,0.104183,-0.125739,9.583671
370,0.089813,-0.123344,9.564511
380,0.069456,-0.131726,9.536968
390,2.12079,0.811912,7.070098
400,-1.26457,0.304167,7.289242
410,1.49569,-0.855022,11.900852
420,0.039518,-0.051493,9.559721
430,1.625021,-0.737666,10.123748
440,-1.87051,0.017963,10.44468
450,0.943638,-0.590372,9.382489
460,-0.069456,-0.045505,9.558523
470,0.124541,-0.117356,9.788445
480,0.079036,-0.098196,9.472302
490,0.197589,-0.159269,9.604029
500,0.116158,-0.129331,9.540561
510,0.079036,-0.135319,9.581276
520,0.034728,-0.112566,9.536968
530,-0.276625,0.179626,12.800182
540,2.74589,1.463357,6.974297
550,1.452579,-0.795147,11.675721
560,-0.2886,0.008383,9.008866
570,1.375939,-0.495769,10.04591
580,-1.373544,0.405956,7.90596
590,0.762814,-0.310155,10.593172
600,0.202379,-0.111368,9.257948
610,0.214354,-0.093406,9.699829
620,0.089813,-0.065863,9.590857
630,0.123344,-0.089813,9.559721
640,0.149689,-0.134121,9.588461
650,0.086221,-0.137714,9.553733
660,0.041913,-0.141306,9.546548
670,-2.186653,-3.781736,29.385693
680,1.507665,1.647774,6.015092
690,1.165177,0.376018,10.480606
700,0.107776,-0.040715,9.865086
710,1.435814,-0.698148,9.77168
720,-2.003434,0.749641,7.817344
730,0.635878,-0.128134,10.32972
740,0.749641,-0.256267,9.515413
750,0.186812,-0.068258,9.669891
760,0.129331,-0.065863,9.560919
770,0.141306,-0.092208,9.552536
780,0.136516,-0.125739,9.565708
790,0.095801,-0.138911,9.576486
800,1.933978,0.767604,-5.452262
810,-1.53401,0.129331,7.497609
820,1.037043,-0.489782,11.039843
830,0.258662,-0.239502,10.236314
840,0.041913,-0.083826,9.98364
850,0.707728,-0.065863,10.275832
860,-0.65863,0.855022,7.350315
870,0.987946,-0.56283,11.045831
880,0.481399,-0.199984,9.309442
890,0.258662,-0.107776,9.321417
900,0.174836,-0.046703,9.656719
910,0.165256,-0.128134,9.570498
920,0.146096,-0.149689,9.592053
930,0.092208,-0.136516,9.565708
940,0.089813,-0.150886,9.610016
950,0.074246,-0.168849,9.610016
960,0.011975,-0.29818,4.242777
970,2.116,0.330513,8.359816
980,-1.011896,0.25507,7.725136
990,1.107697,-0.609532,11.28653
1000,-0.027543,-0.106578,9.490265
1010,2.086062,0.892145,6.098917
1020,-0.655038,-0.451461,11.484119
1030,0.835862,-0.597557,8.890313
1040,-0.02874,-0.0479,9.800421
1050,0.073048,-0.021555,9.578881
1060,0.184417,-0.160466,9.545351
1070,0.118553,-0.162861,9.590857
1080,0.079036,-0.140109,9.564511
1090,0.061073,-0.124541,9.562116
1100,0.046703,-0.131726,9.562116
1110,1.032254,0.795147,-4.288283
1120,-1.377136,-0.098196,6.901249
1130,1.55317,-0.823887,12.681629
1140,-0.479004,0.081431,8.640034
1150,0.790356,-0.031135,10.898537
1160,1.198707,-0.25028,8.359816
1170,0.91849,-0.549657,9.965676
1180,-0.102986,-0.01437,9.611214
1190,0.201182,-0.136516,9.632769
1200,0.141306,-0.120948,9.441168
1210,0.154479,-0.131726,9.534574
1220,0.082628,-0.110171,9.552536
1230,0.056283,-0.114961,9.563313
1240,-0.221539,-0.00958,8.105944
1250,-3.198549,-1.751957,26.114096
1260,0.166454,0.708926,7.358698
1270,-0.576002,0.095801,8.399334
1280,0.410746,-0.427511,10.607542
1290,0.172441,-0.039518,9.905801
1300,0.662223,-0.099393,9.995614
1310,0.981958,-0.098196,7.737111
1320,-1.447789,-0.552052,9.821976
1330,0.065863,-0.00958,9.669891
1340,0.166454,-0.088616,9.533376
1350,0.138911,-0.116158,9.461525
1360,0.141306,-0.136516,9.566906
1370,0.112566,-0.143701,9.588461
1380,0.073048,-0.138911,9.578881
1390,0.05748,-0.147294,9.576486
1400,0.995131,0.809517,-4.461922
1410,0.829874,-0.740061,12.991784
1420,-1.619033,0.110171,6.865324
1430,-0.31255,0.146096,9.171728
1440,1.031056,0.005988,10.317744
1450,-0.901725,-0.817899,7.569459
1460,-0.147294,0.404758,9.754915
1470,0.954415,-0.484991,9.643546
1480,0.168849,-0.150886,9.677077
1490,0.117356,-0.137714,9.399255
1500,0.161664,-0.161664,9.558523
1510,0.119751,-0.138911,9.592053
1520,0.104183,-0.132924,9.572893
1530,0.064666,-0.119751,9.547746
1540,-0.434696,-0.03832,5.1457
1550,-2.266886,-0.632285,21.759951
1560,-0.736469,0.603545,7.115603
1570,1.237028,-0.414338,12.034974
1580,0.826282,-0.422721,10.267449
1590,0.362845,1.025068,8.789722
1600,-1.731599,0.258662,8.308323
1610,0.798739,-0.196392,10.30577
1620,0.373623,-0.185614,9.602831
1630,0.335303,-0.190404,9.604029
1640,0.135319,-0.124541,9.546548
1650,0.124541,-0.122146,9.578881
1660,0.100591,-0.123344,9.566906
1670,0.091011,-0.119751,9.574091
1680,0.081431,-0.126936,9.571696
1690,0.720901,0.416733,-1.852548
1700,1.252595,-0.102986,11.704461
1710,-1.532813,0.152084,6.871311
1720,1.756747,-0.811912,12.406201
1730,-0.542472,0.015568,8.717872
1740,-0.711321,-0.361648,8.338261
1750,-0.125739,0.270637,9.455538
1760,0.837059,-0.408351,9.751323
1770,-0.108973,-0.008383,9.538166
1780,0.158071,-0.108973,9.679472
1790,0.128134,-0.138911,9.5214
1800,0.124541,-0.142504,9.568104
1810,0.093406,-0.138911,9.562116
1820,0.089813,-0.141306,9.580078
1830,0.071851,-0.147294,9.574091
1840,-1.377136,-2.16869,22.59222
1850,0.493374,0.675396,8.519085
1860,0.481399,0.125739,10.863809
1870,0.0479,0.135319,9.608819
1880,0.453856,-0.102986,10.390793
1890,1.580713,1.441802,6.908434
1900,0.094603,-0.490979,10.989548
1910,0.59157,-0.391586,9.206455
1920,0.123344,-0.130529,9.551338
1930,0.044308,-0.076641,9.55014
1940,0.088616,-0.120948,9.557326
1950,0.095801,-0.141306,9.584868
1960,0.087418,-0.125739,9.558523
1970,0.080233,-0.125739,9.557326
1980,0.070653,-0.113763,9.569301
1990,0.080233,-0.112566,9.536968
2000,-1.078956,-3.187771,26.070986
2010,1.114882,1.032254,7.994576
2020,0.659828,0.318538,10.245894
2030,0.246687,-0.051493,10.199191
2040,0.253872,0.04311,9.593251
2050,-0.556842,-0.222737,9.897419
2060,0.886157,-0.62989,9.621991
2070,-0.220342,0.058678,9.690249
2080,0.158071,-0.106578,9.64714
2090,0.126936,-0.110171,9.438772
2100,0.082628,-0.114961,9.522598
2110,0.059875,-0.122146,9.580078
2120,0.04311,-0.124541,9.544153
2130,0.05269,-0.116158,9.55014
2140,0.058678,-0.096998,9.558523
2150,0.27423,-0.529299,12.573853
2160,2.430945,1.835783,6.11209
2170,-0.941243,0.517324,7.889194
2180,1.700464,-0.720901,11.693684
2190,-0.237107,0.0,9.533376
2200,1.712439,-0.164059,7.388636
2210,0.519719,-0.108973,10.574012
2220,0.506547,-0.136516,9.303453
2230,0.164059,-0.073048,9.43997
2240,0.105381,-0.077838,9.617202
2250,0.092208,-0.119751,9.612411
2260,0.091011,-0.146096,9.587264
2270,0.063468,-0.147294,9.504636
2280,0.045505,-0.131726,9.528585
2290,0.031135,-0.104183,9.551338
2300,0.053888,-0.083826,9.542955
2310,1.925596,0.773591,9.299861
2320,-0.380808,0.405956,8.258028
2330,0.995131,-0.107776,11.208692
2340,0.597557,-0.188009,9.53577
2350,-1.596281,1.051414,8.255632
2360,1.179547,-0.734074,10.018367
2370,-0.214354,0.067061,9.921369
2380,0.24549,-0.158071,9.477093
2390,0.180824,-0.164059,9.40644
2400,0.168849,-0.171244,9.568104
2410,0.094603,-0.148491,9.580078
2420,0.062271,-0.125739,9.539363
2430,0.045505,-0.117356,9.547746
2440,0.03353,-0.105381,9.559721
2450,0.03353,-0.085023,9.559721
2460,-0.155676,-1.692081,24.683073
2470,0.010778,0.750839,7.30481
2480,0.528102,0.061073,11.273357
2490,-0.113763,0.225132,9.17053
2500,0.128134,0.087418,9.980047
2510,0.920885,-0.401166,7.690408
2520,0.60115,-0.299377,10.219549
2530,0.104183,-0.075443,9.480685
2540,0.26465,-0.226329,9.545351
2550,0.137714,-0.140109,9.447155
