timestamp_ms,acc_x,acc_y,acc_z
0,0.226329,-0.203577,9.35854
10,0.112566,-0.182021,9.612411
20,-0.300575,0.176034,9.697434
30,2.375859,-4.405639,4.146976
40,0.771196,-0.328118,9.233998
50,1.007106,-0.528102,11.397899
60,-0.676593,0.380808,8.632849
70,0.737666,-0.930465,10.910512
80,1.308878,-0.01437,8.904683
90,0.179626,-0.31734,9.674682
100,0.607138,-0.526904,9.965676
110,0.096998,-0.112566,9.475895
120,-0.105381,-0.045505,9.495055
130,0.213157,-0.219144,9.593251
140,0.001198,-0.082628,9.546548
150,0.083826,-0.120948,9.493857
160,0.114961,-0.160466,9.43997
170,3.161426,-0.347278,-12.490027
180,1.295706,3.373385,1.8753
190,1.575923,-1.334026,13.210928
200,0.421523,-0.458646,10.494976
210,0.285007,-0.204774,9.867481
220,1.4909,-0.186812,10.41594
230,-0.548459,0.435894,5.865403
240,0.541274,-1.346001,11.955938
250,0.231119,-0.148491,9.158555
260,0.178429,-0.223934,9.475895
270,0.095801,-0.183219,9.620794
280,0.069456,-0.148491,9.558523
290,0.112566,-0.173639,9.534574
300,0.05748,-0.154479,9.48308
310,0.011975,-0.105381,9.477093
320,-2.656077,-4.29427,36.175575
330,-2.095642,3.162623,4.108656
340,0.253872,-0.148491,10.245894
350,0.638273,-0.378413,11.043435
360,1.480122,0.166454,8.697514
370,-1.070574,-0.464634,8.358619
380,0.789159,-0.635878,9.724977
390,-0.044308,-0.095801,9.663904
400,0.100591,-0.179626,9.617202
410,0.085023,-0.159269,9.495055
420,0.138911,-0.184417,9.505833
430,0.050295,-0.143701,9.424402
440,0.015568,-0.146096,9.479487
450,3.359015,0.311353,8.630453
460,0.872985,-0.888552,11.643388
470,0.29818,-0.33171,10.60395
480,-0.168849,0.065863,9.511821
490,1.001118,-0.712518,10.781181
500,-1.023871,2.030977,6.393505
510,0.962798,-0.55325,9.087902
520,-0.049098,0.05269,9.249566
530,0.289797,-0.228724,9.833951
540,0.099393,-0.160466,9.807606
550,0.077838,-0.128134,9.651929
560,0.034728,-0.134121,9.395662
570,0.046703,-0.165256,9.481883
580,0.003593,-0.144899,9.477093
590,-1.002316,-2.515968,23.002966
600,-1.57712,2.911146,4.175717
610,0.25507,-0.544867,10.888957
620,1.423839,-0.027543,9.696237
630,-1.731599,0.583187,7.009025
640,0.177231,-0.622705,10.705738
650,0.500559,-0.33171,9.530981
660,0.268242,-0.140109,9.443563
670,0.287402,-0.152084,9.569301
680,0.156874,-0.095801,9.480685
690,0.220342,-0.167651,9.541759
700,0.050295,-0.110171,9.437575
