timestamp_ms,acc_x,acc_y,acc_z
0,0.137714,-0.106578,9.401649
10,0.143701,-0.111368,9.635164
20,0.070653,-0.089813,9.606423
30,0.128134,-0.099393,9.656719
40,0.03353,-0.096998,9.708212
50,0.105381,-0.122146,9.624387
60,0.04311,-0.149689,9.532178
70,1.999841,-4.671486,18.96616
80,2.547103,3.408113,4.349356
90,-2.678829,-0.590372,5.962401
100,-1.25499,-0.135319,7.933503
110,0.858615,-0.301772,10.715318
120,-0.010778,-0.02395,9.675879
130,0.992736,-0.445474,9.690249
140,-1.201102,0.849034,7.465276
150,0.756826,-0.556842,9.66151
160,-0.0479,-0.123344,9.600436
170,0.113763,-0.110171,9.599238
180,0.093406,-0.120948,9.576486
190,0.095801,-0.131726,9.498648
200,0.106578,-0.114961,9.45434
210,0.086221,-0.112566,9.520203
220,0.080233,-0.114961,9.572893
230,-0.010778,-2.994972,17.945883
240,1.751957,1.392704,7.806567
250,-0.356858,0.296982,11.187137
260,-0.574805,0.021555,9.022039
270,0.673001,-0.208367,10.530901
280,1.022673,-0.195194,8.722662
290,-1.671724,0.437091,8.608898
300,0.878972,-0.446671,10.196796
310,0.195194,-0.140109,9.50703
320,0.146096,-0.114961,9.471106
330,0.130529,-0.099393,9.542955
340,0.117356,-0.093406,9.595646
350,0.096998,-0.095801,9.527389
360,0.061073,-0.111368,9.508228
370,-0.02395,0.189207,8.873548
380,-1.585503,-3.452421,25.589588
390,0.037123,0.807122,7.406598
400,0.529299,0.325723,10.3393
410,-0.079036,0.01916,9.927357
420,0.808319,-0.132924,9.793235
430,-0.831072,-0.690963,8.241262
440,0.025148,0.397573,9.485476
450,0.827479,-0.384401,9.72378
460,0.216749,-0.146096,9.715397
470,0.100591,-0.083826,9.457932
480,0.137714,-0.108973,9.548944
490,0.120948,-0.113763,9.588461
500,0.079036,-0.106578,9.529783
510,0.055085,-3.051255,21.022285
520,0.681383,0.506547,8.570578
530,-0.155676,0.258662,9.224418
540,-0.025148,0.195194,10.08423
550,-0.141306,-0.013173,9.774076
560,1.122067,-0.373623,10.197993
570,-0.160466,0.347278,9.50703
580,0.969983,-0.481399,9.772878
590,-0.107776,-0.007185,9.690249
600,0.213157,-0.159269,9.578881
610,0.176034,-0.167651,9.455538
620,0.110171,-0.114961,9.564511
630,0.107776,-0.119751,9.556129
640,0.088616,-0.117356,9.568104
650,0.916095,-0.135319,-0.117356
660,1.058599,0.774789,9.321417
670,0.683778,-0.438289,11.294912
680,-0.417931,-0.122146,9.398057
690,0.310155,-0.290995,10.504556
700,0.576002,0.04311,9.101074
710,-1.140029,-0.149689,8.469987
720,0.822689,-0.470621,9.83874
730,-0.003593,-0.032333,9.562116
740,0.225132,-0.158071,9.649534
750,0.129331,-0.101788,9.438772
760,0.154479,-0.123344,9.581276
770,0.123344,-0.116158,9.575289
780,0.088616,-0.117356,9.510623
790,0.31255,-1.742377,12.947476
800,1.550775,0.846639,9.739347
810,-0.720901,0.176034,8.565787
820,0.348475,-0.152084,9.430389
830,0.676593,-0.240699,9.951306
840,-0.261057,-0.310155,8.547825
850,-0.25028,0.225132,9.333391
860,0.866997,-0.477806,9.772878
870,-0.051493,0.001198,9.637559
880,0.164059,-0.092208,9.431587
890,0.190404,-0.105381,9.564511
900,0.134121,-0.079036,9.554931
910,0.117356,-0.094603,9.541759
920,0.098196,0.134121,9.196876
930,0.464634,0.33171,9.236393
940,0.221539,0.202379,10.04112
950,-0.008383,-0.055085,9.351355
960,0.352068,-0.282612,10.186019
970,0.0479,-0.140109,9.862691
980,0.678988,-0.728086,8.89151
990,-0.652643,0.749641,8.52627
1000,0.758024,-0.407153,10.269844
1010,0.087418,-0.068258,9.593251
1020,0.280217,-0.183219,9.538166
1030,0.135319,-0.116158,9.559721
1040,0.118553,-0.113763,9.541759
1050,0.134121,-0.123344,9.568104
1060,0.102986,-0.124541,9.563313
1070,0.085023,-0.130529,9.55014
1080,-0.050295,-3.513494,24.589666
1090,-0.614323,0.901725,8.055649
1100,0.479004,0.05748,11.049423
1110,-0.526904,0.208367,8.85798
1120,0.444276,-0.070653,10.723701
1130,0.777184,-0.080233,9.598042
1140,-0.570015,0.28381,9.793235
1150,0.95202,-0.465831,9.740545
1160,-0.00958,-0.032333,9.563313
1170,0.199984,-0.125739,9.672287
1180,0.134121,-0.111368,9.43997
1190,0.122146,-0.111368,9.583671
1200,0.076641,-0.112566,9.548944
1210,0.069456,-0.104183,9.552536
1220,0.055085,-0.108973,9.560919
1230,0.051493,-0.04311,0.105381
1240,-0.985551,0.324525,7.58862
1250,1.331631,-0.985551,11.284135
