timestamp_ms,acc_x,acc_y,acc_z
0,0.149689,-0.135319,9.493857
10,0.153281,-0.117356,9.580078
20,0.196392,-0.147294,9.698632
30,0.140109,-0.132924,9.491463
40,0.204774,-0.170046,9.548944
50,0.071851,-0.126936,9.453142
60,2.767445,-1.51485,13.35463
70,3.715873,1.161584,6.062992
80,-3.747008,1.692081,1.617836
90,2.584226,-0.791554,17.100441
100,3.793711,-1.578318,8.20893
110,-0.695753,-0.144899,10.241104
120,0.627495,-0.153281,9.18011
130,0.064666,-0.128134,9.843531
140,0.178429,-0.143701,9.519006
150,0.199984,-0.144899,9.554931
160,0.143701,-0.137714,9.504636
170,0.088616,-0.113763,9.593251
180,0.088616,-0.105381,9.546548
190,0.070653,-0.119751,9.592053
200,0.069456,-0.119751,9.491463
210,-1.695674,-4.142187,37.434158
220,1.780697,0.161664,11.429033
230,-0.543669,-0.02874,9.332194
240,0.655038,-0.564027,11.139236
250,1.362766,-0.664618,10.481804
260,0.602347,2.16869,6.878496
270,0.456251,-0.119751,9.756112
280,0.223934,-0.144899,9.953702
290,0.438289,-0.229922,9.51661
300,0.116158,-0.113763,9.511821
310,0.091011,-0.095801,9.533376
320,0.079036,-0.087418,9.519006
330,0.092208,-0.101788,9.574091
340,0.062271,-0.101788,9.589659
350,0.069456,-0.108973,9.569301
360,0.080233,-0.111368,9.552536
370,-1.762734,-2.553091,20.961212
380,-2.036964,0.796344,5.786367
390,1.093326,0.029938,12.203822
400,0.079036,0.362845,9.564511
410,1.100512,0.008383,8.372989
420,1.159189,-0.543669,10.145303
430,0.320933,-0.164059,9.639954
440,0.192799,-0.122146,9.460327
450,0.190404,-0.111368,9.530981
460,0.128134,-0.125739,9.572893
470,0.095801,-0.105381,9.804013
480,0.070653,-0.100591,9.596844
490,0.032333,-0.104183,9.572893
500,-0.244292,0.783171,4.576882
510,-4.300258,-1.941163,25.585995
520,-1.445394,0.223934,5.374424
530,-1.065784,0.464634,7.745493
540,0.881367,-0.631088,11.468552
550,1.293311,-0.27902,9.921369
560,-0.786764,1.409469,7.284452
570,-1.929188,-0.282612,9.639954
580,0.186812,-0.039518,9.691447
590,0.34129,-0.174836,9.582474
600,0.233514,-0.135319,9.497451
610,0.171244,-0.144899,9.571696
620,0.099393,-0.122146,9.589659
630,0.056283,-0.131726,9.556129
640,0.039518,-0.129331,9.589659
650,0.051493,-0.122146,9.553733
660,1.650169,0.608335,-5.970784
670,0.893342,0.154479,10.711725
680,2.514771,-1.300496,12.751084
690,-0.304167,0.285007,8.866363
700,0.565225,-0.171244,8.455617
710,-0.290995,0.126936,9.389674
720,0.907712,-0.602347,9.988429
730,-0.011975,-0.025148,9.690249
740,0.166454,-0.118553,9.489068
750,0.178429,-0.143701,9.523795
760,0.113763,-0.105381,9.533376
770,0.096998,-0.104183,9.557326
780,0.061073,-0.113763,9.576486
790,0.029938,-0.130529,9.547746
800,0.805924,-1.417852,11.83978
810,1.338816,1.167572,6.716833
820,0.105381,0.516127,8.515492
830,0.137714,-0.261057,10.527308
840,0.783171,-0.239502,10.27224
850,0.969983,0.548459,8.289163
860,-1.760339,-0.325723,8.687934
870,1.088536,-0.310155,10.370435
880,0.550855,-0.082628,9.617202
890,0.240699,-0.095801,9.540561
