timestamp_ms,acc_x,acc_y,acc_z
0,0.164059,-0.125739,9.496253
10,0.152084,-0.108973,9.590857
20,0.168849,-0.106578,9.578881
30,0.053888,-0.119751,9.478291
40,-0.031135,-0.140109,8.341853
50,-8.747809,-4.484674,32.562687
60,-0.443079,2.517166,0.827479
70,1.262175,0.713716,10.669812
80,-0.722098,-0.080233,8.623268
90,1.706452,-0.508942,10.266252
100,-1.208287,-0.087418,7.91075
110,0.778381,-0.408351,10.617122
120,0.243094,-0.075443,9.612411
130,0.204774,-0.153281,9.515413
140,0.130529,-0.112566,9.534574
150,0.213157,-0.123344,9.602831
160,0.088616,-0.102986,9.526191
170,0.126936,-0.113763,9.596844
180,0.094603,-0.107776,9.563313
190,0.065863,-0.099393,9.495055
200,3.602109,0.831072,-10.510544
210,0.670605,-1.23583,13.574971
220,-2.269281,0.111368,5.50136
230,-0.890947,0.271835,7.862849
240,0.866997,-0.027543,10.924882
250,-0.415536,-0.126936,8.6077
260,-0.429906,0.347278,8.341853
270,1.190325,-0.675396,10.429113
280,0.0,-0.238304,9.389674
290,0.263452,-0.152084,9.510623
300,0.160466,-0.083826,9.559721
310,0.148491,-0.096998,9.569301
320,0.149689,-0.125739,9.633966
330,0.071851,-0.122146,9.545351
340,0.03832,-0.132924,9.519006
350,0.008383,-0.116158,9.485476
360,1.50527,0.410746,2.090852
370,2.129173,0.313748,8.21851
380,-1.935176,0.32692,6.301297
390,-0.300575,0.492177,9.051977
400,0.893342,-0.604742,8.817265
410,0.136516,0.445474,10.298584
420,0.426313,-0.207169,9.000484
430,0.308958,-0.171244,9.648336
440,0.153281,-0.081431,9.619596
450,0.161664,-0.141306,9.538166
460,0.152084,-0.147294,9.530981
470,0.126936,-0.150886,9.559721
480,0.089813,-0.150886,9.570498
490,-0.04311,-0.085023,9.364527
500,-5.724097,-2.240541,35.531315
510,0.640668,1.807042,4.162544
520,1.690884,-0.917293,13.060042
530,-1.266965,0.208367,7.746691
540,0.143701,0.104183,9.883048
550,1.295706,-0.126936,9.621991
560,-1.7795,0.051493,7.62694
570,0.710123,-0.120948,10.499766
580,0.423918,-0.065863,9.299861
590,0.197589,-0.061073,9.754915
600,0.110171,-0.094603,9.548944
610,0.138911,-0.154479,9.610016
620,0.068258,-0.166454,9.558523
630,0.034728,-0.147294,9.545351
640,0.001198,-0.138911,9.536968
650,-0.171244,-0.081431,8.697514
660,-3.853587,-2.820136,28.438463
670,0.273032,1.282533,6.222261
680,1.411864,-0.652643,12.055331
690,-0.837059,0.229922,7.983798
700,0.101788,0.051493,9.839938
710,0.687371,-0.132924,9.986034
720,-0.769999,1.302891,7.335945
730,-0.217947,-0.578397,10.025552
740,0.900527,-0.614323,9.527389
750,0.215552,-0.201182,9.730965
760,0.091011,-0.176034,9.407638
770,0.146096,-0.220342,9.625584
780,0.034728,-0.174836,9.582474
790,0.010778,-0.141306,9.523795
800,-0.007185,-0.081431,9.511821
810,-0.561632,-0.95202,25.595575
820,1.939966,2.082469,5.465435
830,1.54359,-0.147294,11.082953
840,-1.220263,0.069456,8.267608
850,0.282612,-0.198787,9.99801
860,0.205972,0.002395,10.030342
870,0.850232,-0.134121,9.952504
880,-1.286126,0.276625,7.350315
890,0.113763,0.035925,9.778865
900,0.823887,-0.518522,9.575289
910,0.172441,-0.193997,9.667497
920,0.081431,-0.167651,9.477093
930,0.114961,-0.211959,9.592053
940,0.031135,-0.170046,9.581276
950,-0.003593,-0.117356,9.553733
960,0.070653,-0.102986,9.586066
970,0.046703,0.005988,9.172925
980,-3.117118,-2.514771,28.554621
990,0.627495,1.341211,6.552774
1000,1.591491,-0.221539,11.624228
1010,0.796344,-0.487386,11.22905
1020,1.046624,-0.101788,9.717793
1030,-2.354304,1.478925,7.175479
1040,0.165256,-0.650248,10.227931
1050,1.204695,-0.616718,9.575289
1060,0.263452,-0.223934,9.519006
1070,0.131726,-0.203577,9.388477
1080,0.116158,-0.198787,9.641151
1090,0.01916,-0.149689,9.616004
1100,0.025148,-0.142504,9.569301
1110,0.053888,-0.116158,9.546548
1120,-0.470621,0.518522,17.919537
1130,2.230961,1.725612,6.101313
1140,1.1544,0.055085,10.568024
1150,-1.107697,0.198787,8.589738
1160,0.482596,-0.240699,10.014774
1170,0.681383,-0.136516,10.578802
1180,0.798739,0.153281,8.987311
1190,-1.520837,-0.086221,6.888076
1200,0.949625,-0.411943,11.326048
1210,0.755629,-0.426313,9.031619
1220,0.050295,-0.141306,9.768087
1230,-0.002395,-0.152084,9.51661
1240,0.134121,-0.234712,9.616004
1250,0.007185,-0.154479,9.527389
1260,-0.015568,-0.106578,9.511821
1270,0.074246,-0.059875,9.565708
1280,1.733994,-0.431104,-3.533851
1290,1.186732,-1.19751,13.368999
1300,-1.472937,0.35087,6.631809
1310,1.991459,-1.084944,12.656481
1320,1.427432,-0.426313,10.611135
1330,-2.081272,0.711321,6.707253
1340,0.883762,-0.646655,11.244617
1350,0.823887,-0.677791,8.943004
1360,-0.534089,0.153281,10.053095
1370,0.129331,-0.188009,9.297466
1380,0.189207,-0.235909,9.606423
1390,0.02874,-0.144899,9.565708
1400,0.01437,-0.147294,9.558523
1410,-0.001198,-0.129331,9.578881
1420,-0.005988,-0.076641,9.560919
1430,-0.147294,-0.61552,20.804338
1440,1.167572,1.232238,8.146659
1450,1.072969,0.123344,10.221944
1460,-0.714913,0.229922,8.691526
1470,0.662223,-0.413141,10.894944
1480,0.271835,0.750839,8.534653
1490,-1.089734,-0.390388,8.406519
1500,1.276545,-0.542472,10.684182
1510,0.182021,-0.058678,9.497451
1520,0.26465,-0.203577,9.329799
1530,0.040715,-0.153281,9.564511
1540,0.04311,-0.196392,9.583671
1550,-0.007185,-0.164059,9.491463
1560,-0.03832,-0.120948,9.51661
