timestamp_ms,acc_x,acc_y,acc_z
0,0.166454,-0.122146,9.520203
10,0.188009,-0.143701,9.668694
20,0.168849,-0.117356,9.699829
30,0.122146,-0.140109,9.582474
40,0.147294,-0.087418,9.672287
50,-5.025949,-3.489544,32.791412
60,-3.256029,1.292113,1.864523
70,3.088378,-1.687291,17.187859
80,1.342409,1.47174,9.496253
90,-2.132765,-0.074246,5.364844
100,0.517324,-0.516127,12.905563
110,0.719703,-0.204774,9.862691
120,0.124541,-0.116158,9.528585
130,0.176034,-0.164059,9.593251
140,0.140109,-0.166454,9.539363
150,0.174836,-0.146096,9.642349
160,0.118553,-0.106578,9.504636
170,2.695595,0.986748,-7.884405
180,-1.372346,-1.901646,17.544716
190,-1.984274,0.374821,5.643864
200,1.484912,-0.795147,12.843293
210,-0.209564,0.26944,8.650811
220,1.213077,0.325723,9.195678
230,-3.297942,-0.687371,7.796987
240,0.626298,0.338895,9.593251
250,1.104104,-0.566422,9.764495
260,-0.31255,0.022753,9.43518
270,0.062271,-0.064666,9.351355
280,0.185614,-0.118553,9.600436
290,0.132924,-0.094603,9.594449
300,0.129331,-0.085023,9.538166
310,0.114961,-0.101788,9.546548
320,0.508942,-0.613125,12.856465
330,-1.645378,0.393981,7.303612
340,0.637075,-0.599952,11.111693
350,0.178429,-0.290995,10.11297
360,-0.008383,-0.049098,10.140513
370,-0.399968,-1.773512,8.041279
380,-0.010778,0.972378,9.159753
390,0.559237,-0.213157,9.948912
400,0.00479,-0.055085,9.441168
410,0.268242,-0.171244,9.638757
420,0.126936,-0.105381,9.55014
430,0.143701,-0.131726,9.602831
440,0.126936,-0.129331,9.576486
450,0.094603,-0.122146,9.539363
460,-0.051493,0.270637,8.502319
470,-3.579357,-2.845283,27.67565
480,1.494492,-0.564027,12.261303
490,-0.111368,-0.015568,9.140593
500,0.723296,-0.531694,11.211087
510,1.055006,-0.064666,8.799302
520,-2.312392,0.526904,7.449708
530,0.550855,-0.135319,9.346564
540,0.217947,-0.123344,9.370514
550,0.199984,-0.105381,9.575289
560,0.118553,-0.101788,9.584868
570,0.124541,-0.125739,9.582474
580,0.100591,-0.143701,9.552536
590,1.190325,0.753234,-2.444118
600,1.374741,0.916095,7.725136
610,0.407153,0.104183,9.44476
620,-0.659828,-0.061073,9.460327
630,-0.037123,-0.129331,10.447076
640,0.730481,-0.029938,9.497451
650,-0.287402,0.144899,6.71803
660,-0.258662,-0.185614,10.152488
670,0.823887,-0.445474,9.69504
680,0.021555,-0.144899,9.748927
690,0.087418,-0.076641,9.469908
700,0.156874,-0.142504,9.599238
