Round,Accuracy,TestLoss,TrainingLoss
187,86.6667,0.3414,0.4166
188,86.6667,0.3537,0.4725
189,86.6667,0.3717,0.3876
190,86.6667,0.3731,0.4198
191,86.6667,0.3763,0.4522
192,86.6667,0.2897,0.3950
193,81.6667,0.5470,0.5025
194,88.3333,0.3482,0.4126
195,86.6667,0.3465,0.4528
196,86.6667,0.3780,0.4370
197,86.6667,0.3919,0.5136
198,85.0000,0.3893,0.4047
199,85.0000,0.3902,0.4998
200,86.6667,0.3588,0.4954
